Category,Display Name,MSE ($K^2$),MAE (K),RMSE (K),NLL,PICP$_{95}$,MPIW$_{95}$ (K),Within 1°C (%),Within 2°C (%),Within 5°C (%)
Other,BayesianCNNLSTM,889.0357666015625,28.544137954711914,29.816701889038086,29.033472061157227,0.03,16.25140953063965,,,
Other,best,3872.254638671875,54.067291259765625,62.22744369506836,,0.0,0.0,,,
Spatial,Spatial Bioheat,3.570359945297241,1.2418403625488281,1.8895396119947423,,,,48.86162996004089,63.4606449214757,99.76767958368181
Spatial,Spatial Metabolic,4.035501956939697,1.02721107006073,2.008855882570897,,,,53.396524486571884,87.18520583588885,99.66545860050181
Spatial,Spatial Convection,6.136727809906006,1.614508032798767,2.477241976454058,,,,47.09599479602267,53.768237152680975,99.34021001765635
Spatial,Simple ResNet,10.061172485351562,1.5176643133163452,3.1719351325888683,,,,51.28705510640275,72.68841185763405,97.92770188644178
Temporal,Convection Bioheat,0.38355791568756104,0.2411644011735916,0.6193205274230469,,,,96.14348108911811,99.19152495121271,99.83272930025092
Temporal,Metabolic Bioheat,0.6974647045135498,0.2118082493543625,0.8351435233021626,,,,97.61174612024904,99.55394480066909,99.86060775020908
Temporal,Bioheat PINN,1.3489292860031128,0.23548074066638947,1.1614341505238739,,,,97.81618808660905,99.64687296719636,99.83272930025092
Temporal,Physics CNNLSTM,11.155993461608887,1.5855202674865723,3.340058900919097,,,,62.4756063562866,74.53768237152681,91.33909487965802
Temporal,CNNLSTM,320.9000549316406,8.414435386657715,17.91368345515909,,,,46.00873524765356,51.11978440665366,62.56853452281387
Temporal,Pretrained CNNLSTM,614.1210327148438,19.59212875366211,24.78146550781135,,,,24.356472446798623,25.545952978347735,27.850571508224142
Uncertainty,Bayesian CNNLSTM,3.4111664295196533,0.8272574543952942,1.8469343185424805,2.4049530029296875,0.9703559148777995,6.476916790008545,,,
Uncertainty,Bayesian Head,5.274592399597168,1.6299360990524292,2.2966480255126953,2.586390256881714,0.9017749279806709,7.21884298324585,,,
Uncertainty,Bayesian Spatial Convection,1105.2391357421875,31.15015983581543,33.24513626098633,65.76808166503906,0.04655701143016448,15.16031551361084,,,
